DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/05/2016,20:15,QUEENS,11413,40.6762141,-73.7556379,"(40.6762141, -73.7556379)",SPRINGFIELD BOULEVARD           ,CARSON STREET                   ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3384358,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,20:15,MANHATTAN,10016,40.7437832,-73.9735076,"(40.7437832, -73.9735076)",EAST 34 STREET                  ,1 AVENUE                        ,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3384467,PASSENGER VEHICLE,TAXI,,,
02/05/2016,20:15,BROOKLYN,11212,40.661118,-73.918603,"(40.661118, -73.918603)",EAST 98 STREET                  ,LIVONIA AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384697,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/05/2016,20:13,,,,,,MADISON AVENUE                  ,EAST 135 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3383967,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,20:10,,,,,,PUGLSEY AVENUE                  ,CROSS BRONX EXPRESSWAY          ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3384546,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/05/2016,20:10,MANHATTAN,10030,40.8232596,-73.9429233,"(40.8232596, -73.9429233)",WEST 145 STREET                 ,BRADHURST AVENUE                ,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3383977,VAN,PASSENGER VEHICLE,,,
02/05/2016,20:10,MANHATTAN,10026,40.8007207,-73.950636,"(40.8007207, -73.950636)",WEST 114 STREET                 ,LENOX AVENUE                    ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3383973,PASSENGER VEHICLE,UNKNOWN,,,
02/05/2016,20:10,BROOKLYN,11207,40.6757357,-73.8968533,"(40.6757357, -73.8968533)",ATLANTIC AVENUE                 ,PENNSYLVANIA AVENUE             ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3384703,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/05/2016,20:05,BROOKLYN,11216,40.6802132,-73.9462762,"(40.6802132, -73.9462762)",FULTON STREET                   ,MARCY AVENUE                    ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384737,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,20:00,,,40.7404542,-73.8443632,"(40.7404542, -73.8443632)",,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3384345,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,20:00,QUEENS,11423,40.7315183,-73.7715348,"(40.7315183, -73.7715348)",UNION TURNPIKE                  ,199 STREET                      ,,0,0,0,0,0,0,0,0,Failure to Keep Right,Unspecified,,,,3384814,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/05/2016,20:00,BRONX,10466,40.898471,-73.8496067,"(40.898471, -73.8496067)",NEREID AVENUE                   ,BRUNER AVENUE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384585,PASSENGER VEHICLE,UNKNOWN,,,
02/05/2016,1:35,BROOKLYN,11206,40.6989727,-73.957019,"(40.6989727, -73.957019)",FLUSHING AVENUE                 ,BEDFORD AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3385192,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,1:30,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3384029,SPORT UTILITY / STATION WAGON,,,,
02/05/2016,1:10,,,,,,3 AVENUE                        ,BOSTON ROAD                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384542,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/05/2016,19:58,BRONX,10451,40.8173878,-73.922758,"(40.8173878, -73.922758)",EAST 149 STREET                 ,MORRIS AVENUE                   ,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3383994,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/05/2016,19:50,MANHATTAN,10032,40.8462299,-73.9426109,"(40.8462299, -73.9426109)",WEST 172 STREET                 ,HAVEN AVENUE                    ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3383982,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
02/05/2016,19:45,MANHATTAN,10025,40.7916628,-73.9646839,"(40.7916628, -73.9646839)",WEST 96 STREET                  ,CENTRAL PARK WEST               ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3383962,TAXI,UNKNOWN,,,
02/05/2016,19:45,BROOKLYN,11207,40.6781627,-73.8974769,"(40.6781627, -73.8974769)",PENNSYLVANIA AVENUE             ,JAMAICA AVENUE                  ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3384708,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
02/05/2016,19:40,BROOKLYN,11216,40.6781564,-73.9441507,"(40.6781564, -73.9441507)",ATLANTIC AVENUE                 ,BROOKLYN AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3386320,LIVERY VEHICLE,PASSENGER VEHICLE,,,
02/05/2016,19:36,MANHATTAN,10017,40.7547827,-73.9799352,"(40.7547827, -73.9799352)",WEST 44 STREET                  ,5 AVENUE                        ,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3384457,TAXI,,,,
02/05/2016,19:35,QUEENS,11432,40.7077158,-73.802787,"(40.7077158, -73.802787)",HILLSIDE AVENUE                 ,PARSONS BOULEVARD               ,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,3384244,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,19:30,BROOKLYN,11225,40.6556338,-73.9598617,"(40.6556338, -73.9598617)",PARKSIDE AVENUE                 ,FLATBUSH AVENUE                 ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3385719,SPORT UTILITY / STATION WAGON,,,,
02/05/2016,19:30,BRONX,10461,40.8429066,-73.8428365,"(40.8429066, -73.8428365)",BLONDELL AVENUE                 ,ROBERTS AVENUE                  ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3384607,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
02/05/2016,19:20,BROOKLYN,11231,40.6809942,-74.0044743,"(40.6809942, -74.0044743)",RAPELYE STREET                  ,HAMILTON AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384722,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/05/2016,19:17,MANHATTAN,10006,40.7077575,-74.015643,"(40.7077575, -74.015643)",WEST STREET                     ,JOSEPH P WARD STREET            ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,,,,,3384411,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/05/2016,19:15,,,,,,INDEPENDENCE AVENUE             ,WEST 232 STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384618,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/05/2016,19:15,MANHATTAN,10029,40.7885854,-73.9552819,"(40.7885854, -73.9552819)",5 AVENUE                        ,EAST 97 STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384503,LIVERY VEHICLE,LIVERY VEHICLE,,,
02/05/2016,19:15,MANHATTAN,10011,40.740443,-73.9945943,"(40.740443, -73.9945943)",6 AVENUE                        ,WEST 19 STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384455,PASSENGER VEHICLE,LIVERY VEHICLE,,,
02/05/2016,19:00,QUEENS,11419,40.6931206,-73.8313291,"(40.6931206, -73.8313291)",115 STREET                      ,ATLANTIC AVENUE                 ,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3384233,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/05/2016,19:00,,,40.7065556,-73.958313,"(40.7065556, -73.958313)",,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3384203,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/05/2016,19:00,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3383993,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/05/2016,19:00,,,,,,PARK CIRCLE                     ,PROSPECT PARK SOUTHWEST         ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384689,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,19:00,QUEENS,11428,40.7184964,-73.73531,"(40.7184964, -73.73531)",JAMAICA AVENUE                  ,SPRINGFIELD BOULEVARD           ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3384785,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
